Date,Open,High,Low,Close,Volumn,Adj Close
9/12/2012,144.39,144.55,143.9,144.39,87607000,144.39
9/11/2012,143.6,144.37,143.56,143.91,88647200,143.91
9/10/2012,144.19,144.44,143.56,143.51,86458500,143.51
9/7/2012,144.01,144.39,143.88,144.33,107272100,144.33
9/6/2012,141.76,143.78,141.75,143.77,158272500,143.77
9/5/2012,141.09,141.47,140.63,140.91,100660300,140.91
9/4/2012,141.04,141.46,140.13,141.03,120226200,141.03
8/31/2012,141.29,141.82,140.36,141.16,151970400,141.16
8/30/2012,140.9,140.94,140.19,140.49,96589900,140.49
8/29/2012,141.52,141.89,141.12,141.51,65421300,141.51
8/28/2012,141.18,141.84,140.97,141.4,75689600,141.4
8/27/2012,141.89,142.08,141.34,141.54,68785900,141.54
8/24/2012,140.31,141.83,140.22,141.51,99481200,141.51
8/23/2012,141.47,141.48,140.44,140.66,111466400,140.66
8/22/2012,141.4,142.05,141.07,141.82,133243500,141.82
